index,dialog_id,unique_id,role,content,intent,music_attribute
20,f00f030c8b4e784e,f00f030c8b4e784e:1:user,user,I like these ones. I want to make a playlist of Gospel music,"['add_filter', 'accept_response']",['genre']
21,f00f030c8b4e784e,f00f030c8b4e784e:1:system,system,Not a problem. Do you want songs without lyrics or the words sung in them?,"['detail_attribute_request', 'sympathetic_response']",['vocal']
22,f00f030c8b4e784e,f00f030c8b4e784e:2:user,user,I want songs with lyrics,['add_filter'],['vocal']
23,f00f030c8b4e784e,f00f030c8b4e784e:2:system,system,"Send a few in the ""gospel"" genre. Let me know if you like them please.","['feedback_request', 'parroting_response', 'passive_recommend']",['genre']
24,f00f030c8b4e784e,f00f030c8b4e784e:3:user,user,"break every chain, So will I",['others'],['none']
25,f00f030c8b4e784e,f00f030c8b4e784e:3:system,system,[MUSIC]Did you like Break every Chain? I't at the top of the list.,"['feedback_request', 'passive_recommend']",['track']
26,f00f030c8b4e784e,f00f030c8b4e784e:4:user,user,I like these ones. I want to create a playlist of take off's songs,"['add_filter', 'accept_response']",['artist']
27,f00f030c8b4e784e,f00f030c8b4e784e:4:system,system,[MUSIC]I can't send any more until we finish with 15 songs that you like from this group of songs.,"['passive_recommend', 'others']",['none']
28,f00f030c8b4e784e,f00f030c8b4e784e:5:user,user,I want to create a playlist of take off's songs,['add_filter'],['artist']
29,f00f030c8b4e784e,f00f030c8b4e784e:5:system,system,This helps me choose better picks just for you. I've enjoyed searching for these beautiful sounds!,['sympathetic_response'],['none']
30,f00f030c8b4e784e,f00f030c8b4e784e:6:user,user,I like these ones. I want to create a playlist,['accept_response'],['none']
31,f00f030c8b4e784e,f00f030c8b4e784e:6:system,system,[MUSIC]Let me know if you have any questions.,"['feedback_request', 'passive_recommend']",['none']
32,dac004c6ae9787b2,dac004c6ae9787b2:0:user,user,"Hi, I'd love to create a playlist of Jazz songs","['initial_query', 'greeting', 'add_filter']",['genre']
33,dac004c6ae9787b2,dac004c6ae9787b2:0:system,system,"Ok, a Jazz playlist. Is there a certain range of years or era or subgenre to focus on?","['detail_attribute_request', 'sympathetic_response']","['year', 'genre']"
34,dac004c6ae9787b2,dac004c6ae9787b2:1:user,user,"Yes, from 2020 please",['add_filter'],['year']
35,dac004c6ae9787b2,dac004c6ae9787b2:1:system,system,[MUSIC]A Jazz playlist with songs from 2020 has now been started for you,"['parroting_response', 'passive_recommend']","['year', 'genre']"
36,dac004c6ae9787b2,dac004c6ae9787b2:2:user,user,nice...can you add some songs from Steam down?,"['add_filter', 'accept_response']",['artist']
37,dac004c6ae9787b2,dac004c6ae9787b2:2:system,system,[MUSIC]Absolutely! A few songs from Steam Down added to the playlist.,"['parroting_response', 'sympathetic_response', 'passive_recommend']",['artist']
38,dac004c6ae9787b2,dac004c6ae9787b2:3:user,user,"lovely...I listen to some Jazztronik songs too, can we have some songs from them too?","['add_filter', 'accept_response']",['artist']
39,dac004c6ae9787b2,dac004c6ae9787b2:3:system,system,[MUSIC]Sounds great! Jazztronik songs now added as well,"['parroting_response', 'sympathetic_response', 'passive_recommend']",['artist']
40,dac004c6ae9787b2,dac004c6ae9787b2:4:user,user,"Excellent...to wrap it up, can we add a couple of Pharoah Sanders songs?","['add_filter', 'accept_response']",['artist']
41,dac004c6ae9787b2,dac004c6ae9787b2:4:system,system,[MUSIC]Yes of course! Pharoah Sanders songs now added to your Jazz playlist.,"['parroting_response', 'sympathetic_response', 'passive_recommend']",['artist']
42,0da2678ac48132e7,0da2678ac48132e7:0:user,user,"Hello, Can i get some pop music for a hangout later today","['initial_query', 'greeting', 'add_filter']","['theme', 'genre']"
43,0da2678ac48132e7,0da2678ac48132e7:0:system,system,Sure thing! What kind of music would you like?',"['detail_attribute_request', 'sympathetic_response']",['none']
44,0da2678ac48132e7,0da2678ac48132e7:1:user,user,something by old artistes,['add_filter'],"['artist', 'year']"
45,0da2678ac48132e7,0da2678ac48132e7:1:system,system,Ok! And what sort of music?,"['detail_attribute_request', 'sympathetic_response']",['none']
46,0da2678ac48132e7,0da2678ac48132e7:2:user,user,Something by pop smoke,['add_filter'],['artist']
47,0da2678ac48132e7,0da2678ac48132e7:2:system,system,[MUSIC]Here is a selection of songs by Pop Smoke! Let me know what artists you would like!,"['feedback_request', 'parroting_response', 'passive_recommend']",['artist']
48,0da2678ac48132e7,0da2678ac48132e7:3:user,user,"Lovely, Some more please","['continue', 'accept_response']",['none']
49,0da2678ac48132e7,0da2678ac48132e7:3:system,system,[MUSIC]More Pop Smoke it is!,"['sympathetic_response', 'active_recommend']",['artist']
50,0da2678ac48132e7,0da2678ac48132e7:4:user,user,"Lovely, can we have some more by Michael Jackson","['add_filter', 'accept_response']",['artist']
51,0da2678ac48132e7,0da2678ac48132e7:4:system,system,[MUSIC]Moonwalking in with some Michael Jackson songs!,"['parroting_response', 'sympathetic_response', 'passive_recommend']",['artist']
52,b8a2eeb06bc2a045,b8a2eeb06bc2a045:0:user,user,"Hi, can you help me make an indie rock playlist for relaxing at home?","['initial_query', 'greeting', 'add_filter']","['theme', 'genre']"
53,b8a2eeb06bc2a045,b8a2eeb06bc2a045:0:system,system,"That sounds like fun, are there any particular artists you want to see?","['detail_attribute_request', 'sympathetic_response']",['artist']
54,b8a2eeb06bc2a045,b8a2eeb06bc2a045:1:user,user,Bright Eyes and The Mountain Goats would be cool,['add_filter'],['artist']
55,b8a2eeb06bc2a045,b8a2eeb06bc2a045:1:system,system,[MUSIC]Here is a selection to start with!,['passive_recommend'],['none']
56,b8a2eeb06bc2a045,b8a2eeb06bc2a045:2:user,user,"Great songs, could we get some more like this?","['continue', 'accept_response']",['none']
57,b8a2eeb06bc2a045,b8a2eeb06bc2a045:2:system,system,[MUSIC]I found some other great songs to add to the list!,"['parroting_response', 'active_recommend']",['none']
58,b8a2eeb06bc2a045,b8a2eeb06bc2a045:3:user,user,Great! could we get some more like Vampire Weekend?,"['add_filter', 'accept_response']",['similar_artist']
59,b8a2eeb06bc2a045,b8a2eeb06bc2a045:3:system,system,"[MUSIC]Vampire Weekend it is! There is room for 2 more songs, any last requests?","['detail_attribute_request', 'parroting_response', 'sympathetic_response', 'passive_recommend']",['artist']
60,b8a2eeb06bc2a045,b8a2eeb06bc2a045:4:user,user,What about something like Iron & Wine?,['add_filter'],['similar_artist']
61,b8a2eeb06bc2a045,b8a2eeb06bc2a045:4:system,system,[MUSIC]Perfect! Here is your list!,"['sympathetic_response', 'passive_recommend']",['none']
62,23d5b332d3b6c334,23d5b332d3b6c334:0:user,user,"Hi, I am feeling down. Would you recommend any songs for me","['initial_query', 'greeting']",['mood']
63,23d5b332d3b6c334,23d5b332d3b6c334:0:system,system,Aw I am sorry to hear that. What kind of music do you like to listen to when you're feeling down?,"['sympathetic_response', 'detail_attribute_request']",['mood']
64,23d5b332d3b6c334,23d5b332d3b6c334:1:user,user,I would like some romantic song,['add_filter'],['mood']
65,23d5b332d3b6c334,23d5b332d3b6c334:1:system,system,"[MUSIC]Okay, here are a mix of genres that are romantic. Let me know which ones you like :)",['passive_recommend'],"['mood', 'genre']"
66,23d5b332d3b6c334,23d5b332d3b6c334:2:user,user,Would you add more songs from Ed Sheeran,['add_filter'],['artist']
67,23d5b332d3b6c334,23d5b332d3b6c334:2:system,system,"[MUSIC]Of course! If there is a specific song by Ed Sheeran you would like in the playlist, feel free to let me know.",['passive_recommend'],['artist']
68,23d5b332d3b6c334,23d5b332d3b6c334:3:user,user,Can you add shape of you into the playlist?,['add_filter'],['track']
69,23d5b332d3b6c334,23d5b332d3b6c334:3:system,system,[MUSIC]Got you! Here are a few artists that are similar to Ed Sheeran as well. Let me know what you think?,['passive_recommend'],['artist']
70,23d5b332d3b6c334,23d5b332d3b6c334:4:user,user,"No, I want the Shape Of Your from Ed Sheeran.","['add_filter', 'reject_response']","['track', 'artist']"
71,23d5b332d3b6c334,23d5b332d3b6c334:4:system,system,Shape of You by Ed Sheeran is in there.,['parroting_response'],"['track', 'artist']"
72,23d5b332d3b6c334,23d5b332d3b6c334:5:user,user,I would like some songs from Bruno Mars,['add_filter'],['artist']
73,23d5b332d3b6c334,23d5b332d3b6c334:5:system,system,[MUSIC]Bruno Mars is great :) Do you like these songs?,"['sympathetic_response', 'passive_recommend']",['artist']
74,9c2eef38cbb9084b,9c2eef38cbb9084b:0:user,user,69 boyz,['add_filter'],['artist']
75,9c2eef38cbb9084b,9c2eef38cbb9084b:0:system,system,"[MUSIC]Here are songs by 69 boyz, what is this playlist for?","['parroting_response', 'passive_recommend']",['artist']
76,9c2eef38cbb9084b,9c2eef38cbb9084b:1:user,user,bbq,['add_filter'],['theme']
77,9c2eef38cbb9084b,9c2eef38cbb9084b:1:system,system,What other artists would you like to hear at your barbeque?,['detail_attribute_request'],"['artist', 'theme']"
78,9c2eef38cbb9084b,9c2eef38cbb9084b:2:user,user,future,['add_filter'],['artist']
79,9c2eef38cbb9084b,9c2eef38cbb9084b:2:system,system,[MUSIC]Here is future as well as some other related artists. Let me know if I missed any of your favorite songs,"['detail_attribute_request', 'parroting_response', 'active_recommend', 'passive_recommend']",['artist']
80,9c2eef38cbb9084b,9c2eef38cbb9084b:3:user,user,yo gotti,['add_filter'],['artist']
81,9c2eef38cbb9084b,9c2eef38cbb9084b:3:system,system,[MUSIC]Here is a mix of Yo gotti songs for your bbq playlist!,"['parroting_response', 'passive_recommend']",['artist']
82,9c2eef38cbb9084b,9c2eef38cbb9084b:4:user,user,cheif keef,['add_filter'],['artist']
83,9c2eef38cbb9084b,9c2eef38cbb9084b:4:system,system,[MUSIC]take care.,['passive_recommend'],['none']
84,36237ab6cab65b89,36237ab6cab65b89:0:user,user,hello,['greeting'],['none']
85,36237ab6cab65b89,36237ab6cab65b89:0:system,system,Hi! What's your sound today?,"['detail_attribute_request', 'sympathetic_response']",['none']
86,36237ab6cab65b89,36237ab6cab65b89:1:user,user,I would like alternative R&B playlist,"['initial_query', 'add_filter']",['genre']
87,36237ab6cab65b89,36237ab6cab65b89:1:system,system,[MUSIC]Cool! I have heatache fetish and a few more for you.,"['parroting_response', 'sympathetic_response', 'passive_recommend', 'active_recommend']",['none']
88,36237ab6cab65b89,36237ab6cab65b89:2:user,user,It did not load any music,['others'],['none']
89,36237ab6cab65b89,36237ab6cab65b89:2:system,system,[MUSIC]I see three to the right of our chat.,"['passive_recommend', 'others']",['none']
90,36237ab6cab65b89,36237ab6cab65b89:3:user,user,Nice! Can you add more in this style?,"['continue', 'accept_response']",['none']
91,36237ab6cab65b89,36237ab6cab65b89:3:system,system,[MUSIC]Absolutely! Sent you some Wicked Games just now.,"['parroting_response', 'sympathetic_response', 'passive_recommend']",['track']
92,36237ab6cab65b89,36237ab6cab65b89:4:user,user,Real good! My favorite artists are The Weeknd and Frank Ocean,"['add_filter', 'accept_response']",['artist']
93,36237ab6cab65b89,36237ab6cab65b89:4:system,system,[MUSIC]You have great taste! How about Jenell Monae? She's quite good?,"['detail_attribute_request', 'sympathetic_response', 'passive_recommend']",['artist']
94,36237ab6cab65b89,36237ab6cab65b89:5:user,user,"It's alright, can you add more The Weeknd? Specifically his older work.",['add_filter'],"['artist', 'year']"
95,36237ab6cab65b89,36237ab6cab65b89:5:system,system,[MUSIC]You got it! you earned it! haha,"['sympathetic_response', 'passive_recommend']",['none']
96,36237ab6cab65b89,36237ab6cab65b89:6:user,user,"Thanks, that will do",['accept_response'],['none']
97,36237ab6cab65b89,36237ab6cab65b89:6:system,system,[MUSIC]I hope you like Save your tears and I feel it coming.,['active_recommend'],['track']
98,1e5cae25792f3e4b,1e5cae25792f3e4b:0:user,user,"Hello, can i have a party mix for a party later tonight","['initial_query', 'greeting', 'add_filter']",['theme']
99,1e5cae25792f3e4b,1e5cae25792f3e4b:0:system,system,Sure! Any genre or era in particular?,"['detail_attribute_request', 'sympathetic_response']","['year', 'genre']"
100,1e5cae25792f3e4b,1e5cae25792f3e4b:1:user,user,Rnb,['add_filter'],['genre']
101,1e5cae25792f3e4b,1e5cae25792f3e4b:1:system,system,"[MUSIC]Ok, sounds good, here are a few to start","['sympathetic_response', 'passive_recommend']",['none']
102,1e5cae25792f3e4b,1e5cae25792f3e4b:2:user,user,"Beautiful, lets have more by rihanna","['add_filter', 'accept_response']",['artist']
103,1e5cae25792f3e4b,1e5cae25792f3e4b:2:system,system,[MUSIC]Ok! Here are more songs by rihanna,"['parroting_response', 'passive_recommend']",['artist']
104,1e5cae25792f3e4b,1e5cae25792f3e4b:3:user,user,Amazing! How about some songs by chris brown,"['add_filter', 'accept_response']",['artist']
105,1e5cae25792f3e4b,1e5cae25792f3e4b:3:system,system,[MUSIC]Sure! Here are some songs by Chris Brown for your playlist,"['parroting_response', 'sympathetic_response', 'passive_recommend']",['artist']
106,1e5cae25792f3e4b,1e5cae25792f3e4b:4:user,user,"Thankss, some older songs would be good","['add_filter', 'accept_response']",['year']
107,1e5cae25792f3e4b,1e5cae25792f3e4b:4:system,system,"[MUSIC]Sure, here are a few older Chris Brown songs","['parroting_response', 'sympathetic_response', 'passive_recommend']","['artist', 'year']"
108,8a9b27c2aec9d9d9,8a9b27c2aec9d9d9:0:user,user,"Hi, Can we make a wake up playlist?","['initial_query', 'greeting', 'add_filter']",['theme']
109,8a9b27c2aec9d9d9,8a9b27c2aec9d9d9:0:system,system,Hello! We sure can. Did you want something upbeat and loud or something to slowly wake you up?,"['detail_attribute_request', 'sympathetic_response']","['mood', 'tempo']"
110,8a9b27c2aec9d9d9,8a9b27c2aec9d9d9:1:user,user,Lets go with something to wake me up slowly.,['add_filter'],['mood']
111,8a9b27c2aec9d9d9,8a9b27c2aec9d9d9:1:system,system,[MUSIC]Got it. How do these look?,"['feedback_request', 'sympathetic_response', 'passive_recommend']",['none']
112,8a9b27c2aec9d9d9,8a9b27c2aec9d9d9:2:user,user,Yes this is a good start. More like this.,"['continue', 'accept_response']",['none']
113,8a9b27c2aec9d9d9,8a9b27c2aec9d9d9:2:system,system,[MUSIC]Perfect :) Here's more,"['sympathetic_response', 'active_recommend']",['none']
114,8a9b27c2aec9d9d9,8a9b27c2aec9d9d9:3:user,user,You are on the right track. Let's get some more like these.,"['continue', 'accept_response']",['none']
115,8a9b27c2aec9d9d9,8a9b27c2aec9d9d9:3:system,system,[MUSIC]Yay! Are these good too?,"['feedback_request', 'sympathetic_response', 'active_recommend']",['none']
116,8a9b27c2aec9d9d9,8a9b27c2aec9d9d9:4:user,user,These are all great maybe just a couple more and we should have it.,"['continue', 'accept_response']",['none']
117,8a9b27c2aec9d9d9,8a9b27c2aec9d9d9:4:system,system,[MUSIC]Here's some more,['active_recommend'],['none']
118,c10e8724008447fb,c10e8724008447fb:0:user,user,"Hi, I'd love to create a rock playlist for a party with my friends","['initial_query', 'greeting', 'add_filter']","['theme', 'genre']"
119,c10e8724008447fb,c10e8724008447fb:0:system,system,[MUSIC]are these good?,"['feedback_request', 'passive_recommend']",['none']
120,c10e8724008447fb,c10e8724008447fb:1:user,user,"somewhat good... I like to listen to Weezer and Foo Fighters, can we add some of their songs?","['add_filter', 'accept_response']",['artist']
121,c10e8724008447fb,c10e8724008447fb:1:system,system,[MUSIC]Good choice how about these?,"['feedback_request', 'sympathetic_response', 'passive_recommend']",['none']
122,c10e8724008447fb,c10e8724008447fb:2:user,user,these are wonderful...can we add something from Dirty Honey too?,"['add_filter', 'accept_response']",['artist']
123,c10e8724008447fb,c10e8724008447fb:2:system,system,[MUSIC]Good choice,"['sympathetic_response', 'passive_recommend']",['none']
124,c10e8724008447fb,c10e8724008447fb:3:user,user,"I listen to Inhaler sometimes, can we get some of their songs on the playlist?",['add_filter'],['artist']
125,c10e8724008447fb,c10e8724008447fb:3:system,system,[MUSIC]Do you like these?,"['feedback_request', 'passive_recommend']",['none']
126,c10e8724008447fb,c10e8724008447fb:4:user,user,"They sound good...to wrap it up, can we go old school and add some songs by The Beatles?","['add_filter', 'accept_response']",['artist']
127,c10e8724008447fb,c10e8724008447fb:4:system,system,[MUSIC]Nice i hope you like these,"['feedback_request', 'sympathetic_response', 'passive_recommend']",['none']
128,c10e8724008447fb,c10e8724008447fb:5:user,user,these are pretty good...Can you also add a couple songs from Eagles?,"['add_filter', 'accept_response']",['artist']
129,c10e8724008447fb,c10e8724008447fb:5:system,system,[MUSIC]Awesome,"['sympathetic_response', 'passive_recommend']",['none']
130,454f356712c870a3,454f356712c870a3:0:user,user,"Hello I think my mood is feeling something more towards heavy rock, like bullet for my valentine for example","['initial_query', 'greeting', 'add_filter']","['artist', 'mood', 'genre']"
131,454f356712c870a3,454f356712c870a3:0:system,system,[MUSIC]Hey. Check these out.,"['sympathetic_response', 'passive_recommend']",['none']
132,454f356712c870a3,454f356712c870a3:1:user,user,"Love all of those songs, since I have heard them before id love to hear something similar just by a different artist",['add_filter'],['artist']
133,454f356712c870a3,454f356712c870a3:1:system,system,[MUSIC]Great. OK. Here are some for you.,"['sympathetic_response', 'passive_recommend']",['none']
134,454f356712c870a3,454f356712c870a3:2:user,user,"I'm not really digging the female rock music, it's a bit too mainstream for me, deftones is pretty good though, something more hardcore rock would be awesome","['add_filter', 'accept_response', 'reject_response']","['artist', 'genre']"
135,454f356712c870a3,454f356712c870a3:2:system,system,"[MUSIC]Ah, I see. Check these tunes out.","['sympathetic_response', 'passive_recommend']",['none']
136,454f356712c870a3,454f356712c870a3:3:user,user,Iron maiden is a bit too old school sounding I mean I like it but it's probably something I wont listen to very much,"['remove_filter', 'reject_response']",['artist']
137,454f356712c870a3,454f356712c870a3:3:system,system,[MUSIC]OK. Well see if you like these.,"['feedback_request', 'passive_recommend']",['none']
138,454f356712c870a3,454f356712c870a3:4:user,user,"Hit the nail on the head with slipknot, It'd be cool to hear a similar artist so maybe I can discover something new just the same genre","['add_filter', 'accept_response']","['similar_artist', 'genre']"
139,454f356712c870a3,454f356712c870a3:4:system,system,[MUSIC]Great! Here are a few more for you to check out.,"['sympathetic_response', 'passive_recommend']",['none']
140,d8f8b56736489843,d8f8b56736489843:0:user,user,hello i would like to make a 70s disco playlist,"['initial_query', 'add_filter']","['year', 'genre']"
141,d8f8b56736489843,d8f8b56736489843:0:system,system,"[MUSIC]Here are some songs, please keep in mind that the dates listed on the songs are the dates they were added to the database and not when they were published.",['passive_recommend'],['none']
142,d8f8b56736489843,d8f8b56736489843:1:user,user,i like earth wind and fire,['accept_response'],['artist']
143,d8f8b56736489843,d8f8b56736489843:1:system,system,"cool, what else can I find for you","['sympathetic_response', 'detail_attribute_request']",['none']
144,d8f8b56736489843,d8f8b56736489843:2:user,user,how about some more bee gees songs?,['add_filter'],['artist']
145,d8f8b56736489843,d8f8b56736489843:2:system,system,[MUSIC]Here are more Bee Gees,['active_recommend'],['artist']
146,d8f8b56736489843,d8f8b56736489843:3:user,user,that's good. do you have more disco?,"['accept_response', 'add_filter']",['genre']
147,d8f8b56736489843,d8f8b56736489843:3:system,system,[MUSIC]Here is more disco,['active_recommend'],['genre']
160,791dfbbb62f24256,791dfbbb62f24256:0:user,user,"Hi! Sometimes on occasion I like some fun bubbly Kpop when I'm in a good mood. I like groups like TWICE, Crayon Pop, and older groups like the Wonder Girls. Can you suggest similar fun Kpop songs, please?","['initial_query', 'greeting', 'add_filter']","['similar_artist', 'mood', 'genre']"
161,791dfbbb62f24256,791dfbbb62f24256:0:system,system,[MUSIC]here are some Kpop tracks,"['parroting_response', 'passive_recommend']",['genre']
162,791dfbbb62f24256,791dfbbb62f24256:1:user,user,"Most of the TWICE, Crayon Pop, Wonder Girls songs were great but two were not fun and bubbly which were ""That's All I'm Saying"" and ""Be As One."" Also, the rest of the suggestions like Black Pink are too edgy and current. Can you suggest some slightly older Kpop that's similar to the TWICE and Crayon Pop eras?","['add_filter', 'remove_filter', 'accept_response', 'reject_response']","['year', 'similar_track', 'similar_artist']"
163,791dfbbb62f24256,791dfbbb62f24256:1:system,system,[MUSIC]here is some more Kpop,"['parroting_response', 'passive_recommend']",['genre']
164,791dfbbb62f24256,791dfbbb62f24256:2:user,user,The Momoland songs are all great suggestions and fit the mood and genre well for the playlist. The Red Velvet suggestions are nice and I like them but just not a good fit for this particular playlist.,['accept_response'],"['mood', 'genre']"
165,791dfbbb62f24256,791dfbbb62f24256:2:system,system,[MUSIC]here are a few more suggestions,['passive_recommend'],['none']
166,791dfbbb62f24256,791dfbbb62f24256:3:user,user,"Although the Weki Meki songs are nice, they just aren't a good fit for this playlist and don't quite match the fun bubbly mood.","['remove_filter', 'reject_response']",['mood']
167,791dfbbb62f24256,791dfbbb62f24256:3:system,system,[MUSIC]here are few more sugestions,['passive_recommend'],['none']
168,791dfbbb62f24256,791dfbbb62f24256:4:user,user,"Unfortunately all youre most recent suggestions from SUGA, KARA, MIss A, IVE, and Apink don't fit the playlist mood, although they would be good songs for another type of playlist. Do you have anything more Kpop suggestions that are fun and bubbly from the 2012 - 2016 years?","['add_filter', 'remove_filter', 'reject_response']","['year', 'mood']"
169,791dfbbb62f24256,791dfbbb62f24256:4:system,system,[MUSIC]here are few more suggestions,['passive_recommend'],['none']
170,48823b357a6f74ee,48823b357a6f74ee:0:user,user,"Hello, I'm looking for some rock music to listen to while working. I like Green Day and Pearl Jam","['initial_query', 'greeting', 'add_filter']","['artist', 'genre']"
171,48823b357a6f74ee,48823b357a6f74ee:0:system,system,"I can easily help with that, I know pearl jam, but are we talking pre trilogy green day or post trilogy greenday ?","['detail_attribute_request', 'sympathetic_response']",['artist']
172,48823b357a6f74ee,48823b357a6f74ee:1:user,user,Definitely talking about pre trilogy Green Day,['add_filter'],['artist']
173,48823b357a6f74ee,48823b357a6f74ee:1:system,system,[MUSIC]Here is some green day and pearl jam,"['parroting_response', 'passive_recommend']",['artist']
174,48823b357a6f74ee,48823b357a6f74ee:2:user,user,Excellent picks! How about some music from other artists like Soundgarden or Nirvana,"['add_filter', 'accept_response']",['similar_artist']
175,48823b357a6f74ee,48823b357a6f74ee:2:system,system,[MUSIC]Here is some soundgarden and nirvana,"['parroting_response', 'passive_recommend']",['artist']
176,48823b357a6f74ee,48823b357a6f74ee:3:user,user,nice! how about some more music from the genre but a different band,"['add_filter', 'accept_response']","['artist', 'genre']"
177,48823b357a6f74ee,48823b357a6f74ee:3:system,system,[MUSIC]Here are some recamendations,['passive_recommend'],['none']
178,48823b357a6f74ee,48823b357a6f74ee:4:user,user,"I'm not a fan of Zebrahead, something more like Anti-flag would be cool","['add_filter', 'remove_filter', 'reject_response']",['artist']
179,48823b357a6f74ee,48823b357a6f74ee:4:system,system,[MUSIC]Here are some recamendations,['passive_recommend'],['none']
180,e9e557cb733572c4,e9e557cb733572c4:0:user,user,I need an exercise playlist! Can you play Wheezer,"['initial_query', 'add_filter']","['artist', 'theme']"
181,e9e557cb733572c4,e9e557cb733572c4:0:system,system,[MUSIC]Sure can! What other artists would you like to hear?,"['detail_attribute_request', 'passive_recommend']",['artist']
182,e9e557cb733572c4,e9e557cb733572c4:1:user,user,Do you have anything that sounds like weezer,['add_filter'],['similar_artist']
183,e9e557cb733572c4,e9e557cb733572c4:1:system,system,[MUSIC]Yes.,['passive_recommend'],['none']
184,e9e557cb733572c4,e9e557cb733572c4:2:user,user,Okay ready for more like these!,"['continue', 'accept_response']",['none']
185,e9e557cb733572c4,e9e557cb733572c4:2:system,system,[MUSIC]I found these songs that you might like.,['passive_recommend'],['none']
186,e9e557cb733572c4,e9e557cb733572c4:3:user,user,one more,['continue'],['none']
187,e9e557cb733572c4,e9e557cb733572c4:3:system,system,"[MUSIC]I can add another one after that, what song would you like?","['detail_attribute_request', 'passive_recommend']",['none']
188,e9e557cb733572c4,e9e557cb733572c4:4:user,user,I love all of these!,['accept_response'],['none']
189,e9e557cb733572c4,e9e557cb733572c4:4:system,system,"[MUSIC]One more, just for you!",['passive_recommend'],['none']
190,7b16874349b6b54b,7b16874349b6b54b:0:user,user,"Hi, I want to create a rock music playlist to rock to with my friends on weekends?","['initial_query', 'add_filter', 'greeting']","['theme', 'genre']"
191,7b16874349b6b54b,7b16874349b6b54b:0:system,system,[MUSIC]Hello! OK. Here are some for you to check out.,"['sympathetic_response', 'passive_recommend']",['none']
192,7b16874349b6b54b,7b16874349b6b54b:1:user,user,"Those were great, could you please add more of em?","['accept_response', 'add_filter']",['none']
193,7b16874349b6b54b,7b16874349b6b54b:1:system,system,[MUSIC]Glad you like em. Here are some other good ones for you.,"['sympathetic_response', 'passive_recommend']",['none']
194,7b16874349b6b54b,7b16874349b6b54b:2:user,user,Wow! Those were awesome. How would you like to share your favorite Rock music with me please?,"['accept_response', 'continue']",['genre']
195,7b16874349b6b54b,7b16874349b6b54b:2:system,system,[MUSIC]Sure! Take a listen!,['passive_recommend'],['none']
196,7b16874349b6b54b,7b16874349b6b54b:3:user,user,Wow! I love em; how about some more please.,"['accept_response', 'continue']",['none']
197,7b16874349b6b54b,7b16874349b6b54b:3:system,system,[MUSIC]Here are a few more.,['passive_recommend'],['none']
198,a0437a85e599a9b9,a0437a85e599a9b9:0:user,user,Hi wizard,['greeting'],['none']
199,a0437a85e599a9b9,a0437a85e599a9b9:0:system,system,Hello! What would you like to listen to?,"['detail_attribute_request', 'sympathetic_response']",['none']
200,a0437a85e599a9b9,a0437a85e599a9b9:1:user,user,Some gospel music,['add_filter'],['genre']
